prompt,A,B,C,D,E,answer
What recognition did Eleanore Myers Jewett's book receive?,Eleanore Myers Jewett's book The Hidden Treasure of Glaston was awarded the Pulitzer Prize in 1947.,Eleanore Myers Jewett's book The Hidden Treasure of Glaston did not receive any formal recognition or award.,Eleanore Myers Jewett's book The Hidden Treasure of Glaston was awarded the National Book Award in 1947.,Eleanore Myers Jewett's book The Hidden Treasure of Glaston was awarded the Caldecott Medal in 1947.,Eleanore Myers Jewett's book The Hidden Treasure of Glaston was awarded the Newbery Honor Medal in 1947.,E
How did Cathay Pacific get its name?,"Cathay Pacific was chosen because ""Cathay"" is the ancient name for China and ""Pacific"" symbolizes the vastness of their flying network.",The airline was named after a famous explorer who traveled across China and the Pacific Ocean.,"Cathay Pacific was named after a famous Chinese philosophy, ""Cathay,"" which emphasizes the importance of pacifism in aviation.","The name ""Cathay Pacific"" was selected randomly without any specific meaning or connection behind it.","The airline was named after the founder's favorite travel destination, a country known for its cathedrals and pacific coastline.",A
How is the cuisine at El Dorado Kitchen described by the Michelin Guide and Zagat's?,"The Michelin Guide describes the food as Californian-Mediterranean fusion cuisine, while Zagat's calls it classic California cuisine.","The Michelin Guide describes the food as Mediterranean-California fusion, while Zagat's calls it classic California cuisine.","The Michelin Guide describes the food as California cuisine, while Zagat's calls it ""Cal-Med,"" combining California cuisine with Mediterranean cuisine.",The Michelin Guide and Zagat's both describe the food as Californian-Mediterranean fusion cuisine.,"The Michelin Guide describes the food as California cuisine, while Zagat's calls it Mediterranean-California fusion.",C
Who wrote the book that served as the source of the tale of Ching Shih?,Hippocrates,Philip Gosse,Naoko Takeuchi,Galen,Avicenna,B
What was the reason for the increased number of scouts attending a particular football match?,"The match was heavily publicized in the media, leading to an increased number of scouts in attendance.","Dele Alli, a talented player, was in excellent form and had been attracting attention from top clubs in Europe prior to the match.","The match was held at a popular stadium known for hosting top-tier football matches, thus attracting scouts.","The opponent team, Manchester United, had recently won the League Cup, attracting attention from scouts.","The match was a local derby, which resulted in a higher turnout of scouts.",B
What recognition did Morten Andersen receive from French Graffiti Art Magazine in 2011?,He was named as one of the one hundred contemporary artists to look out for.,He was awarded the prestigious Artiste of the Year title.,He was ranked among the top five artists of the year.,He was featured on the cover of the magazine as the artist of the month.,He was given an honorable mention for his contribution to the art world.,A
Who nominated Julie for Canada's Worst Driver 13?,Julie's neighbor.,Julie's five-year-old son.,"Julie's best friend, Lara Petersen.",Julie's boss.,None of the above.,C
Which group was responsible for the discovery of minor planets 142001 to 143000?,None of the above,William Huggins,Fraunhofer,LINEAR,Socorro,D
How does the hooded vulture communicate during copulation?,It emits a low-frequency growl.,"It gives a shrill, sibilant whistle.",It remains silent throughout the process.,It emits a high-pitched screech.,"It produces a deep, resonating roar.",B
Where is the habitat of the Milos wall lizard primarily located?,The Milos wall lizard can be found in various regions of Greece. ,The Milos wall lizard inhabits a few Aegean islands in Greece. ,The Milos wall lizard can be found throughout Europe. ,The Milos wall lizard is primarily found in the United States.,The Milos wall lizard is native to the Mediterranean coast. ,B
What is the unique characteristic of the hindwings of Aroga atraphaxi?,The hindwings are brownish with dark spots.,The hindwings are white with black stripes.,The hindwings are transparent.,The hindwings are light blue.,The hindwings are grey.,E
How many Convair aircraft did Trans-Florida Airlines purchase over time?,Two,Eight,Four,Six,Ten,B
When was the additional building for grades 4-8 constructed at Woodman School?,None of the above.,1959,1888,1892,1891,B
What is the significance of the strike involving Ty Cobb and his teammates?,The strike led to the formation of the Major League Baseball Players Association.,The strike was part of a larger movement to establish the Fraternity of Professional Baseball Players of America.,The strike resulted in Cobb being involved in numerous fights throughout his career.,The strike had no lasting impact on the players or the league.,The strike caused the owners to make concessions to the players' demands.,E
What is the main reason for the significant increase in the uninsured non-citizens in the United States between 1998 and 2003?,The implementation of restrictions imposed by PRWORA in 1996,The increasing cost of health insurance in those states,The low awareness among non-citizens about the importance of health insurance,"The lack of availability of health insurance options in California, Texas, Florida, and New York",The significant influx of foreign-born non-citizens during that period,A
"In which century did the term ""carrying one's bat"" come to exclusively refer to opening batsmen in cricket?",21st,18th,19th,17th,20th,E
"What observation did Bernard Donoughue make about Brian Morris, Baron Morris of Castle Morris, in his diary?",Morris maintained strong nationalist sympathies and actively promoted Welsh culture and language.,Morris was among the leading supporters of the new party leader Tony Blair within the Labour Party.,"Morris was an influential figure in the Labour Party, known for his support of Tony Blair's leadership.","Morris was a fluent speaker of the Welsh language, advocating for its legal status in the nation.",Morris was one of the academics keen to operate on the national stage and eager to get there.,E
